sample_barcode,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32
TCGA-AX-A2H8-01A-11R-A17B-07,12.577298,0.068832256,0.0,5.3029175,2.2020857,1.4052573,3.8468804,0.22009058,5.420474,11.696823,4.028771,2.0114841,0.2728031,0.0,6.456617,0.0,5.3137045,1.2648795,0.0,1.086569,0.0,0.49150532,1.4750762,0.0,0.0,0.0,0.28645688,0.0,4.537609,0.0,0.0,3.9068232
TCGA-FI-A2D5-01A-11R-A17B-07,1.5054555,0.0,5.95196,0.67352843,0.0,0.0,11.679657,0.0,0.0,4.998149,0.0,4.1221023,1.7632008,3.6126907,8.189103,0.0,1.5466468,0.37082723,0.0,2.601904,0.0,0.0,10.6256485,0.89128095,8.672673,0.0,0.05114407,0.0,2.4025576,0.0,1.9471196,9.7585
TCGA-B5-A3F9-01A-21R-A22K-07,0.05436425,2.2920454,0.0,5.3088293,0.0,0.6008218,0.0,7.3120966,0.0,1.646342,5.4593434,0.0,0.0,0.0,0.8765621,4.300826,8.393459,1.3154695,0.0,3.8474636,5.6248636,0.0,1.8506417,3.52326,0.0,0.0,0.0,6.306595,0.0,0.24807668,10.691928,0.0
TCGA-BK-A139-01C-08R-A277-07,2.2182481,1.447137,0.0,0.0,5.8946376,0.0,0.0,5.784438,5.3366847,6.5369415,0.0,0.0,13.393223,0.0,6.7998853,0.0,0.0,0.0,0.0,7.19477,1.519034,8.427442,13.616111,0.0,10.0253315,0.0,0.0,2.205254,0.0,0.0,9.254522,0.0
TCGA-E6-A2P9-01A-11R-A19W-07,0.0,4.4463844,0.0,4.120902,0.0,0.0,0.3858278,0.0,0.0,0.0,1.8050854,2.111868,0.0,5.535817,6.8544483,0.0,0.0,0.0,3.4150908,15.993439,1.4752549,0.0,2.5620196,5.7956014,8.665815,10.60533,0.0,7.6105146,0.0,0.0,3.4806738,2.4104939
TCGA-EO-A3AY-01A-12R-A19W-07,0.0,0.0,0.0,5.853982,0.20123391,5.605722,1.7386217,0.34988067,1.7341588,0.0,13.180101,1.9210008,0.0,0.0,0.0,10.592689,0.0,0.17705691,6.104249,0.0,0.065523185,0.0,0.0,2.0390062,0.6893637,0.6687851,0.0,0.0,0.76334685,0.0,0.0,3.6088114
TCGA-B5-A11Z-01A-11R-A10J-07,0.0,15.958987,2.6738331,7.0575175,0.28752434,0.0,0.0,6.0314555,1.8332707,2.2971334,0.0,3.3103251,0.0,0.0,1.3771973,0.0,5.672113,3.152376,0.0,1.0726644,0.0,0.0,4.173326,5.242836,4.1208496,8.202838,4.1454167,6.9293203,0.0,2.1207178,7.525037,0.0
TCGA-BG-A0W2-01A-11R-A109-07,0.0,3.3314178,0.14366801,7.805866,0.0,0.0,0.0,6.075306,0.0,3.0639822,3.8646865,2.5639014,0.0,0.0,0.0,2.4610481,7.586179,3.8771944,0.0,0.63905615,3.6958838,0.0,0.20611313,5.652332,0.040221155,1.3253589,0.0,4.0369406,0.0,2.9236987,12.271021,0.0
TCGA-DI-A1BY-01A-21R-A137-07,0.0,0.70060533,1.5247812,1.6591381,0.0,0.0,0.0,6.5396905,0.0,0.9323785,0.9092145,0.0,0.0,0.0,0.0,1.4115301,0.0,0.07322803,0.0,0.0,1.0393414,0.0,0.0,8.085277,1.079025,0.0,0.0,5.644777,0.0,3.9441369,1.905813,0.0
TCGA-AX-A2HA-01A-12R-A18M-07,0.0,5.396264,0.0,0.57135534,0.8297688,2.942203,0.0,3.5191998,1.3875387,0.0,4.563395,0.54558825,0.0,0.0,8.721284,0.0,0.0,0.78402066,1.7844223,4.241845,0.0,3.5887241,0.0,3.8912745,3.6538181,5.8047957,0.0,0.0,0.0,0.0,5.6826077,0.9543209
TCGA-AX-A063-01A-11R-A00V-07,0.0,7.4036922,0.0,3.7801077,0.41032988,3.1661997,2.572019,1.7481267,0.0,2.2921708,0.98100996,2.1533804,0.6448123,4.0217586,1.4944665,1.0558625,0.9075093,0.0,0.0,8.094103,1.5387803,0.0,0.56171083,7.2803884,1.7955711,4.5674486,0.0,1.3272575,0.0,0.0,1.2701032,0.0
TCGA-D1-A16O-01A-11R-A12I-07,0.0,2.0581322,0.0,1.6472585,3.3643577,0.0,0.0,4.1597934,0.0,0.0,0.0,2.983307,0.0,0.0,0.0,0.2922063,3.2401972,7.1373158,0.0,5.311537,0.0,1.007509,4.079173,4.9859447,0.31263345,9.124134,5.7950473,7.7743564,0.0,0.0,6.14544,8.771014
TCGA-D1-A17A-01A-11R-A12I-07,0.0,7.0259714,0.0,7.0619206,7.043313,7.1383953,0.0,5.877667,0.0,0.6943015,0.5356051,0.5566158,0.0,5.751911,2.8079147,3.38305,0.6248331,1.2407389,0.0,4.639594,0.0,0.0,0.0,6.4573264,4.058597,2.7199128,5.8010173,7.0358105,1.9930657,0.0,0.0,6.8312216
TCGA-D1-A1O0-01A-11R-A17B-07,0.9018454,1.7199568,0.061417416,1.374454,1.0090017,0.0,0.36854056,2.9580698,0.18675268,2.5315964,0.320413,0.0,0.0,0.59615684,7.1268964,0.0,0.0,0.0,0.0,0.0,6.481948,0.81926703,0.033188224,0.0,1.5508357,0.0,0.0,0.0,2.661231,0.0,0.0,0.0
TCGA-AP-A05J-01A-11R-A00V-07,9.573885,0.0,0.0,6.062469,0.0,6.6229978,6.1946206,0.0,0.7624529,2.7767205,0.0,6.4653363,0.0,0.0,8.09861,2.1607046,0.0,11.151355,3.7739556,0.0,0.0,2.3834233,0.0,0.0,0.0,0.0,6.0078187,0.0,12.23629,0.0,0.0,1.420342
TCGA-AJ-A3NF-01A-11R-A22K-07,3.97821,0.0,0.0,0.0,0.0,6.011696,1.4230262,0.9661202,0.0,6.0321054,0.0,0.0,4.935748,3.1854663,0.0,3.3868651,6.528423,0.0,0.0,0.0,1.3545963,0.0,8.058392,0.3862973,0.0,0.0,6.8365073,0.0,2.2536619,1.7430937,0.0,0.0
