,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,recon_err,y
TCGA-AJ-A5DV-01A-11R-A27V-07,-1.699146,0.5182685,-0.013024455,-0.76157117,-0.6242982,0.21096581,0.9381193,-2.428356,-0.9543508,-1.4692128,0.9434257,-0.8770966,2.3431063,0.49768525,-2.6479826,-0.08117339,0.2280159,0.26830718,-0.9410398,-0.58096766,1.9241818,1.4703593,-1.0738047,-0.5839406,-2.9031982,-0.71171564,-2.3958213,1.3471472,0.56471765,1.0836295,-1.3632808,-2.2435234,9.572507,
TCGA-A5-A1OF-01A-11R-A14D-07,0.320616,-3.6478307,2.154679,-5.5596914,0.25109553,1.4659952,-2.4416537,-0.8892178,0.46746787,-5.5630627,-0.5839238,-1.3203312,4.948208,-2.3573534,-0.12887256,-0.88008654,-2.3686552,-1.023084,-3.7651737,-5.810672,0.022698484,-0.010109994,-1.2714999,1.8899426,-1.5297459,-2.5716462,1.1706123,0.79149586,6.334692,1.713726,4.5319943,-1.0267597,14.001844,0.0
TCGA-SL-A6JA-01A-11R-A31O-07,-0.48592508,-2.3690696,-0.880034,2.8133907,-2.046231,2.0947642,-0.81947607,-0.711129,-1.1782254,-0.24001361,-1.4628469,1.5689955,1.2893401,-1.1813301,0.6252895,4.1821246,-0.95051247,2.1798964,-0.9361465,-4.174124,-0.23958601,4.9946074,-2.1389968,-3.932151,1.8004167,-5.19952,0.026025608,0.82057184,1.6543351,-0.962043,-1.9722286,-3.4590023,36.17731,
TCGA-A5-A0GB-01A-11R-A040-07,0.99847347,-1.7487879,1.9723969,3.1631494,-1.0206589,3.5447512,-0.21475863,-2.0506659,2.4372828,0.18712856,-2.0019574,-1.7853673,1.0899936,-6.0547404,0.11979189,-1.2394936,-1.3488002,0.5140034,-2.6727667,-0.2528198,-0.37106603,-3.5168657,-3.8269386,-1.4055955,-6.6645412,-2.3238833,1.4979609,3.0891442,1.7224882,0.29764122,-1.2761414,-0.15393656,11.102281,0.0
TCGA-EY-A547-01A-11R-A27V-07,-1.5049924,-4.8125367,1.1970049,-0.056479923,0.24377072,2.6340158,-0.8212155,5.329269,-2.8696494,3.3467948,-5.132297,1.246265,1.7489333,0.27193385,0.5703199,7.631789,0.96191037,3.8320847,-2.210928,2.043772,2.9454513,-1.8011503,-9.185347,-1.8271345,1.3859872,-5.0356245,0.12865308,0.24482922,2.0471852,-0.30210745,-2.0066237,1.5944747,61.80239,
TCGA-EO-A3B0-01A-12R-A19W-07,0.5812624,0.23573814,0.77025753,-3.807392,-2.5682526,3.0575373,1.6196514,-2.2450871,-3.1136582,-1.3196377,-0.111117266,0.04797134,0.5888817,-2.806911,0.8456244,2.9605806,-0.14404175,0.29663408,-3.1386635,-0.019696586,-0.82468134,-0.13062063,-1.4268694,-2.8919575,-0.81733906,0.17743024,-0.33104026,-0.45464444,1.1740507,-0.260335,-1.0894175,-0.9130696,27.738869,
TCGA-AJ-A23M-01A-11R-A157-07,1.3794023,-0.366615,2.4806259,-0.67551947,0.44676483,1.8592669,0.65202004,-0.91495085,1.9552728,-2.9880989,0.4440155,2.3037794,-1.5638044,1.7504717,-2.2759395,3.866361,-2.2329009,0.380188,-2.7402556,-2.0846736,4.8272185,-3.2758634,0.77201366,-0.38207266,-0.48382318,-1.6047664,1.9189141,-2.6123676,0.5964997,1.7586657,-1.5893028,3.1272361,28.96516,
TCGA-D1-A0ZZ-01A-11R-A10J-07,-2.0297906,-4.422622,-5.625908,0.5111282,-2.2935386,3.7411282,-3.5045068,-8.771455,0.5231997,-0.42063364,1.2458564,7.2544575,0.39747378,-4.438394,-4.570511,3.0720088,-2.2757332,0.61286277,-5.260809,-1.4922167,9.11921,-2.925237,2.131872,-4.1329446,-0.86088985,-5.4555917,2.0207992,-6.280947,-0.6097221,1.5590397,-3.2685645,-1.7800254,15.95967,0.0
TCGA-B5-A5OE-01A-11R-A31O-07,-0.5313571,-2.2031965,-0.79173267,-1.6871923,1.9281285,4.793521,-1.926395,0.14557253,-0.953155,2.576826,2.9905317,4.072373,3.3324003,-0.82218313,0.69634926,7.1647625,-2.1468391,1.4337243,-3.1811717,-2.3763726,4.3953013,-2.2227707,-4.6231236,-1.8589668,2.1100452,-2.0022635,-1.3677485,1.1255214,3.0654407,1.0856985,-2.985876,-1.3905277,45.077553,
TCGA-D1-A1NW-01A-11R-A14M-07,3.8392396,-1.9019485,-3.736109,-0.6193046,0.32253394,-2.1177876,0.39849988,-1.0780337,2.0781872,0.48976192,-0.44933835,3.7534788,-0.1072393,0.45634618,-2.0544736,4.5747843,3.6492343,2.7955718,-2.7142103,-2.9968362,1.8269346,1.4989405,-0.6819573,4.210769,3.8458543,-3.4265966,0.4705073,-5.9150553,2.700794,3.333065,-0.9611081,0.05621358,16.577158,0.0
TCGA-AJ-A3NC-01A-11R-A22K-07,-0.6526964,0.67453384,-1.5057628,0.3481302,-0.2807503,-2.2154694,1.9688507,-2.7442548,-0.8037302,-1.8587213,1.4634631,-0.884117,0.42013004,0.7661353,-1.2995709,0.4833971,1.2120653,0.25654384,-0.5736728,-1.6032314,1.4181589,0.5761085,-0.619149,-3.3271332,0.41440934,-1.7404737,-0.2441501,-0.22296757,-0.068422966,-0.18055263,-1.4344176,-1.5181782,12.410086,
TCGA-AP-A054-01A-11R-A16W-07,3.7521842,2.4202218,2.7976482,-1.3687537,-3.19264,-0.5923955,1.9879149,-4.7275057,-1.5110018,-6.479142,-4.428504,1.5465707,-0.2687081,-5.6417656,-4.573872,6.848951,2.6413145,0.368111,-2.6431563,5.623206,-3.5622044,-3.9546719,-5.358633,-1.960878,1.8762871,-7.16299,8.181251,-5.9119954,1.7810498,1.1133301,-1.5415617,2.8968754,13.086035,1.0
TCGA-AX-A0IW-01A-11R-A040-07,1.9859983,-5.7533536,2.8250217,-1.476339,-1.6079683,0.38575408,-3.0590703,2.7588341,1.7704991,-1.2712108,-1.1796237,2.5789227,1.3200246,-0.9447463,-1.0722299,6.5983005,1.1244406,4.017311,-1.4996682,-5.03663,3.1447153,-4.0999513,-1.0018735,0.93970346,3.6334198,-1.373054,1.4411157,-1.7291025,1.4982617,-0.5239178,-0.06234552,2.516063,12.074485,0.0
TCGA-AJ-A3I9-01A-11R-A22K-07,-1.3452842,-0.89486504,-0.07113711,0.71152663,-1.0456941,1.5676398,0.92843145,-2.1572342,0.51821876,2.737881,-2.8473294,-1.9751002,1.3600173,-2.6767142,-2.6685202,2.153321,-0.53920305,2.0165613,-2.7681136,1.2891885,3.264131,-0.31457204,-2.0579946,-2.886748,-2.9119616,-2.9286523,-2.3897462,-0.25889888,4.469654,-0.070684485,-4.1393204,-3.1416247,26.872217,
TCGA-BS-A0WQ-01A-21R-A109-07,-0.39827242,-1.5907669,-2.8697524,0.48492414,0.7942592,-2.150259,-0.60244703,-0.92420435,0.8342589,-0.3054248,0.9136914,0.92880726,1.2058023,0.47082624,0.19120151,-0.20588376,1.3141273,2.2140527,0.25371388,1.1229517,0.94909596,-0.10149524,0.30823848,-2.0577028,0.56644744,-2.3570206,0.62397015,-2.6966617,-0.5672315,-1.0645092,-2.3905811,0.34980205,6.3371,0.0
TCGA-EY-A1GT-01A-11R-A13S-07,0.7123313,-0.5511618,-3.7686641,0.91345364,0.17499606,-0.10635809,-2.3176565,-2.3041654,-0.13517973,-3.1107092,0.5093741,0.54841423,0.5244223,-0.81766206,-1.9107847,3.98237,0.44720927,-2.575809,0.87332404,-2.9070885,1.9158424,-0.74273205,0.28853413,-1.919785,-0.03244667,-3.9476895,1.9546404,1.4692069,-4.0971313,0.11462276,-0.5211887,1.0271132,8.145523,0.0
